Username,20170201-SUR1,20170205-LAB1,20170209-LAB2,20170210-HW1,20170216-LAB3,20170217-HW2,20170223-LAB4,20170224-HW3,20170301-SUR2,20170302-LAB5,20170303-HW4,20170309-LAB6,20170316-Midterm,20170317-LAB7,20170317-PROJ1,20170401-SUR3,20170406-LAB8,20170407-HW5,20170413-LAB9,20170420-LAB10,20170421-PROJ2,20170427-LAB11,20170428-HW6,20170501-SUR4,20170504-LAB12,20170511-LAB13,20170512-PROJ3,20170516-Final,LETTER,SecNo,TOTAL%
100,0,0,8,34,10,24,10,17,5,6,34,7.75,162,10,42,0,6,12,8,2,34,8,20,0,1.5,0,13,90,F,9,56.28
100,5,10,10,40,10,40,10,39,5,10,35,10,186,8,78,5,9.75,34,10,10,64,9.5,34,5,10,1.75,54,171,B,20,89.48
101,0,10,10,40,10,40,10,40,5,9.5,38,10,173,10,80,5,10,21,8,10,51,8,40,0,10,9.5,74,162,B,12,86.85
101,5,10,2,40,10,40,10,38,5,9.5,37,9.5,176,8,71,5,9,17.5,9,10,42,9.5,34,5,8,2,65,144,B,15,81.9
